book No	Author	Alternate name (i.e.  Order Name)	Translator	Title	Sub-title	Year of Publication	Publisher	Place	Edition	Subject	Class 1	Class 2	Class 3	Keywords	Synopsis	Notes	ISBN	Medium	Copies	
25			"Conze, Edward"	Buddhist Scriptures		1987	Penguin Books			Suttas not PTS	CBT	CON					0-14-044088-7	Paperback book	1	
26			"Conze, Edward"	Buddhist Scriptures		1987	Penguin Books			Suttas not PTS	CBT	CON					0-14-044088-7	Paperback book	1	
27			"Conze, Edward"	Buddhist Scriptures		1975	Penguin Books			Suttas not PTS	CBT	CON					0-14-044088-7	Paperback book	1	
28			"Conze, Edward"	Buddhist Scriptures		1971	Penguin Books			Suttas not PTS	CBT	CON					0-14-044088-7	Paperback book	1	
29	"Conze, E., Horner, I.B., Snellgrove, D., Waley, A (eds.)"			Buddhist Texts through the Ages		1964	Harper and Row Publishers			Suttas not PTS	CBT	CON		monks; nuns; dhamma; mahayana;  tantras; china; japan; buddhist schools; pali canon; pure lands; yogicharas; wisdom			06-130113-2	Paperback book	1	
30	"Goddard, Dwight (ed)"			A Buddhist Bible		1970	Beacon Press				CBT	GOD					0-8070-5911-0	paperback	1	
31	"Lopez, D. (eds)"			Buddhist Scriptures		2004	Penguin Books			Suttas not PTS	CBT	LOP					0-140-44758-X	Paperback book	1	
32	"Thomas, EJ"			The Quest of Enlightenment		1950	Wisdom of the East				CBT	THO						hardback	1	
33	"Beal, Samuel"			A Catena of Buddhist Scriptures from the Chinese		1989	Sri Satguru Publications				CHI	BEA					81-7030-183-1	hardback	1	
34	"Blofeld, John"			The Jewel in the Lotus	An outlineof Present day Buddhism in China	1948	The Buddhist Society	London	First edition	Chinese	CHI	BLO						Hardback	1	
35	Chao Tze-Chiang			A Chinese Garden of Serenity	Epigrams on the Ming Dynasty 'Discourses on Vegetable Roots'	1959	The Peter Pauper Press			Chinese	CHI	CHA						Hardback	1	
36	"Chappell, David W."			Buddhist and Taoist Practice in Medieval Chinese Society	Buddhist and Taoist studies II	1987	Asian Studies Hawaii	Hawaii	First edition	Chinese	CHI	CHA					0-8248-0957-2	Paperback	1	
37	"Minh Chau, Thich (Bikshu) "			The Chinese Madhyama Agama and the Pali Majjhima Nikaya		1991	Motilal Banarsidass			Mahayana Studies	CHI	CHA					81-208-0794-4	Hardback book	1	
38	"Ch'en, Kenneth"			Buddhism in China	A historical survey	1973	Princeton University Press	New Jersey	First edition	Chinese	CHI	CHE					0-691-00015-8	Paperback	1	
39	"Cheng, Hsueh-li"			Empty Logic: Madhyamika Buddism from Chinese Sources		1991	Motilal Banarsidass				CHI	CHE					812-0807715	hardback	1	
40	"Ch'eng-en, Wu"		"Waley, Arthur"	Monkey	As seen on television	1989	Unwin Paperbacks	London		Chinese	CHI	CHE					0-04-823276-9	Paperback	1	
41	Chin Kung (Venerable Master)			Changing Destiny	Liao-Fan's Four lessons	1999	Hw Dzan Pure Land Learning Centre	Taiwan		Chinese	CHI	CHI						Paperback	1	
42	Ou-I (Patriarch)		"Cleary, J.C."	Mind-Seal of the Buddhas	Patriarch Ou-I's Commentary on th Amitabha Sutra	1997	Sutra Translation Committee of the United States and Canada			Mahayana Studies	CHI	CLE						Paperback book	1	
43	"Cleary, J C "			Pure Land Pure Mind	The Buddhism of Masters Chu-hung and Tsung-pen	1994	The Sutra Translation Committee of US & Canada				CHI	CLE						paperback	1	
44	"Ganguly, S."			Treatise in Thirty Verses on Mere Consciousness		1992	Motilal Banarsidass			Madhyamaka and Yogacara	CHI	GAN					81-208-0924-5	Hardback book	1	
45	"Gimello, Robert M. & Gregory, Peter N. (eds)"			Studies in Ch'an and Hua-Yen		1990	University of Hawaii Press	Hawii	First edition	Chinese	CHI	GIM					0-8248-0835-5	Paperback	1	
46	"Gregory, Peter N. (ed)"			Sudden and Gradual	Approaches to Enlightenment in Chinese Thought	1991	Motilal Banarsidass	Deli	First edition	Chinese	CHI	GRE					81-208-0819-3	Hardback	1	
47	"Gregory, Peter N"			Tsung-mi and Sinification of Buddhism		2002	University of Hawaii Press				CHI	GRE					082482623X	paperback	1	
48	Hiuen Tsiang		Wei Tat	Ch'eng Wei-Shih Lun	Doctrine of mere-consciusness	1973	Dai Nippon printing co.	Hong Kong		Chinese	CHI	HIU						hardback	1	
49	Hiuen Tsiang		"Beal, Samuel"	Si-Yu-Ki: Buddhist Records of the Western World	Translated from the Chinese of Hiuen Tsiang	1981 and 1994	Motilal Banarsidass	Deli	Reprint of frist edition	Chinese	CHI	HIU					81-208-1107-0	Hardback	1	
50	"Hsu, T'an (Grandmaster)"			On Amidism		1998	The Corporate Body of the Buddha Educational Foundation				CHI	HSU						PAPERBACK	1	
51	"Hsu, T'an (Grandmaster)/Kwong, Tai/ Nan, Li Ping"			On Amidism/To Be Born in a lotus/A Buddhist Goal that can be achievd in  one's present life		2001	The Corporate Body of the Buddha Educational Foundation				CHI	HSU						paperback	1	
52	"Hwui Li, (Shaman)"		"Beal, Samuel"	The Life of Hiuen-Tsiang		1973	Munshiram Manoharlal Publishers Pvt. Ltd.	Deli	2nd edition	Chinese	CHI	HWU						Hardback	1	
53	I-Ching		"Lahiri, Latika"	Chinese Monks in India	Biography of eminente monks who went to the western world in search of the law during the great T'ang dynasty	1998	Motilal Banarsidass	Deli	First edition	Chinese	CHI	ICH					81-208-0062-1	Hardback	1	
54	"Inagaki, Hisao &  Steward, Harold"			The Three Pure Land Sutras	A Study and Translation from Chinese	1995	Nagata Bunshodo	Kyoto	2	Mahayana Sutras	CHI	INA		pure land; mahayana; amit?bha sam?dhi; bodhisattva	"General survey of Pure Land Buddhism, including the Amit?bha Sam?dhi. Translation of The Larger Sutra on Amit?yus, The Sutra on Contemplation of Amit?yus and The Smaller Sutra on Amit?yus"		4-8162-0201-3	Hardback Book	1	
55	"Legge, James"		"Legge, James"	A Record of Buddhistic Kingdoms	Being an accont by the Chinese monk Fa-Hien of his travels in India and Ceylon (A.D. 399-414) in search of the Buddhist Books of Disipline	1965	Dover Publication	New York	First edition	Chinese	CHI	LEG					0-486-21344-7	Paperback	1	
56	Lin Yutang			A Systematised Collection of Chenian booklets nos. 101-149 vol. 7: nos. 147-149	Under guidance of the Buddhist yogi C. M. Chen	1993	Dharma friends of Dr Lin	Taiwan		Chinese	CHI	LIN						Paperback	1	
57	Lin Yutang			Pureland Daily Practice	Under the guidence of the Buddhist Yogi C. M. Chen	1989	Dharma friends of Dr Lin	Taiwan		Chinese	CHI	LIN						Paperback	1	
58			"Muller, Charles"	The Sutra of Perfect Enlightenment	Korean Buddhism's Guide to Meditation	1999	State University of New York Press			Mahayana Sutras	CHI	MUL					0-7914-4102-4	Paperback book	1	
59	"Pao-Ch'ang, Shih"		"Tsai, Kathryn Ann"	Lives of the Nuns		1995	Sri Satguru Publications				CHI	PAO					81-7030-465-2	hardback	1	
60	"Park, Sung Bae"			Buddhist Faith and Sudden Enlightenment		1983	State University of New York Press			Mahayana Studies	CHI	PAR					0-87395-674-5	Paperback book	1	
61	"Pas, Julian F"			Visions of Sukhavati		1995	SUNY Press				CHI	PAS					0-7914-2520-7	paperback	1	
62	"Pittman, Don A."			Toward a Modern Chinese Buddhism	Taixu's reforms	2001	University of Hawaii Press	Hawaii	First edition	Chinese	CHI	PIT					0-8248-22131-5	hardback	1	
63	"Porter, Bill"			Road to Heaven	Encounter s with Chinese hermits	1993	Mercury house	San Francisco	First edition	Chinese	CHI	POR					1-56279-041-2	Paperback	1	
64	"Seaton, J P & Maloney, Dennis"			A Drifting Boat	An anthology of Chinese Zen Poetry	1994	White Pine Press				CHI	SEA						paperback	1	
65	"Sheng-yen, (Ch'an Master)"			Complete Enlightenment		1997	Dharma Drum Publications			Chinese	CHI	SHE					0-960-9854-7-6	Hardback	1	
66	Sheng-yen (Chen'an Master)			Complete Enlightenment	Zen comments on the Sutra of Complete Enlightenemnt	1997	Shambhala				CHI	SHE					1-57062-400-3	paperback	1	
67	"Swanson, Paul L."			Foundations of T'ien-T'ai Philosophy	The Flowering of the Two Truths Theory in Chinese Buddhism	1989	Asian humanities press			Chinese	CHI	SWA					0-89581-919-8	paperback	1	
68	"Tam, Thich Thien"			Buddhism of Wisdom & Faith	Pureland principles and practice	1994	The Corporate Body of the Buddha Educational Foundation			Mahayana Studies	CHI	TAM						Paperback book	1	
69	"Tanaka, Kenneth K."			The Dawn of Chinese Pure Land Buddhist Doctrine	Ching-ying Hui-y??an's Commentary on the Visualization Sutra	1990	State University of New York press	New York	First edition	Chinese	CHI	TAN					0-7914-0297-5	paperback	1	
70	Tsai Chih Chung (ed)		Koh Koh Kiang	Origins of Zen	Flowering of Zen in China	1990	Asiapac Books			Chinese	CHI	TSA					9971-985-55-1	Paperback	1	
71	"Allwright, Pat"			Basics of Buddhism	Key Principles and how to Practice	1998	Taplow Press				GEN	ALL					1-902056-00-0	paperback	1	
72	"Allen, Charles"			The Buddha and the Sahibs	The Men Who Discovered India's Lost Religion	2002	John Murray Publications			Non Triratna authors	GEN	ALL					0-7195-5425-X	Hardback book	1	
73	"Allione, Tsultrim"			Women of Wisdom		1986	Arkana				GEN	ALL					1-85063-044-5	paperback	1	
74	Analayo			Compassion and Emptiness in Early Buddhist Meditiation		2015	Windhorse				PAL	GEN	ANA				978-1-909314-559	paperback	1	
75	Analayo			Mindfully Facing Disease & Death	Compassionate advice from early Buddhist text	2016	Windhorse				PAL	GEN	ANA				978-1-909314-72-6	PAPERBACK	1	
76	Analayo			Perspectives on Satipatthana		2013	Windhorse				PAL	GEN	ANA				978-1-909-314030	paperback	1	
77	"Aronson, Harvey"			Buddhist Practice on Western Ground		2004	Shambala	Boston		General Buddhism	GEN	ARO					1-59030093-9	Paperback book 	1	
78	"Balasooriya, Sowatna (ed)"			Buddhist Studies in Honour of Walpola Rahula		1980	Gordon Fraser Gallery Ltd			Non Triratna authors	PAL	GEN	BAL				0-86092-030-5	Hardback book	1	
79	"Baldoquin, Hilda Gutierrez (ed.)"			"Dharma, Color, and Culture"	New voices in Western Buddhism	2004	Parallax	Berkeley		General	GEN	BAL					9-781888-375428	Book	1	
80	"Batchelor, Stephen"			Alone With Others	An Existential Approach to Buddhism	1983	Grove Press				GEN	BAT					0-802151272	paperback	1	
81	"Batchelor, Stephen"			Buddhism Without Beliefs	A contemporary guide to Awakening	1997	Riverhead Books	New York		Non Triratna authors	GEN	BAT		contemporary; zen; tibetan; nondenomenational	Exploration of the practical application of Buddhism to everyday life from an agnostic perspective		1-57322-058-2	Hardback Book	1	
82	"Batchelor, Stephen"			The Awakening of the West	The Encounter of Buddhism and Western Culture	1994	Aquarian			Non Triratna authors	GEN	BAT					1-85538-343-8	Paperback book	1	
83	"Bennett, Allan"			The Wisdom of the Aryas		1923	"Kegan Paul, Trench, Trubner & Co."			Non Triratna authors	GEN	BEN						Hardback book	1	
84	"Bercholz, Ed Samuel & Sherab, Chodzin Kohn"		"Norman, K.R."	Entering the Stream	An Introdcution to the Buddha and His Teachings	1993	Shambhala Publications			Non Triratna authors	GEN	BER					0-87773-981-1	Paperback book	1	
85	"Berger, Arthur., Berger, Joyce"			Reincarnation: Fact or Fable		1991	HarpersCollins			Tibetan	GEN	BER					1-85538-111-7	Paperback book	1	
86	Bercholz & Kohn (ed)			The Buddha & His Teachings		2003	Shambhala				PAL	GEN	BER				978-1-57062-960-0	paperback	1	
87	"Blofeld, John"			Beyond the Gods	Buddhist & Taoist Mysticism	1974	George Allen and Unwin Ltd				GEN	BLO					0-04-294085-0	paperback	1	
88	"Blofeld, John"			Mantras	Sacred words of power	1977	George Allen and Unwin Ltd			Tibetan	GEN	BLO					0-04-294096-6	Hardback book	1	
89	"Blofeld, John"			The Wheel of Life	The autobiography of a Western Buddhist	1959	Rider & Company			Tibetan	GEN	BLO						Hardback book	1	
90	"Bluck, Robert"			British Buddhism	"Teachngs, Practice & development"	2006	Routledge				GEN	BLU					0-415483085	paperback	1	
91	Buddhist Missionary Society			Gems of Buddhist Wisdom		1996	The Corporate Body of the Buddha Educational Foundation			Non Triratna authors	GEN	BMS					967-9920-04-6		1	
92	Bodhi (Bhikku)			Noble Eightfold Path						Non Triratna authors	GEN	BOD					955-24-0116X	paperback	1	
93	Brahm (Ajahn)			"Mindfulness, Bliss & Beyond"		2006	Wisdom				GEN	BRA					0-86171-275-7	paperback	1	
94	"Bronkhorst, Johannes"			The Two Traditions of Meditation in Ancient India		2000	Motilal Banarsidass				GEN	BRO					81-208-1643-9	paperback	1	
95	"Brust, Harald"	Asokananda	Konghog Tenzin	The Yoga of Mindfulness	A Buddhist Path for Body and Mind	1993	Editions Duang Kamol	Thailand		Non Triratna authors	GEN	BRU		meditation; thailand; vipassana; yoga; pranayamas	"Exploration of the connection between vipassana and yoga, including diagrams and instructions in mindful yoga practices"		974-210-657-6	Paperback	1	
96	Buddhadasa (Bhikkhu)		"Swearer, Donald K."	Dhammic Socialism		1986	Thai Inter-religious commission for development	Bankok		General	GEN	BUD						Book	1	
97	"Buddhadasa, Ajahn (Bhikkhu)"		Santikaro (Bhikkhu)	Mindfulness with Breathing: Unveiling the Secrets of Life	A Manual for Serious Beginners	1989	Evolution/Liberation	Thailand	2	Non Triratna authors	PAL	GEN	BUD	meditation; mindfulness; anapanasati; thailand	Collection of lectures given by Ajahn Buddhadasa to Westerners in Thailand as part of a meditation course in 1986. Topics include: Dhamma; posture; calming the kaya; mastering vedana; contemplating citta;impermanence; highest benefits		974-8486-22-2	Paperback book	1	
98	"Buddhadasa, Ajahn (Bhikkhu)"		Santikaro (Bhikkhu)	Mindfulness with Breathing: Unveiling the Secrets of Life	A Manual for Serious Beginners	1997	Wisdom	Thailand	2	Non Triratna authors	PAL	GEN	BUD	meditation; mindfulness; anapanasati; thailand	Collection of lectures given by Ajahn Buddhadasa to Westerners in Thailand as part of a meditation course in 1986. Topics include: Dhamma; posture; calming the kaya; mastering vedana; contemplating citta;impermanence; highest benefits		0-86171-111-4	Paperback book	1	
99	"Burlingame, Eugene Watson"			A Treasury of Buddhist Stories	From the Dhammapada Commentary	1996	Buddhist Publication Society			Non Triratna authors	GEN	BUR					955-24-0147-X	Paperback book	1	
100	"Cabezon, Jose Ignacio (ed)"			"Buddhism, Sexuality and Gender"		1992	Sri Satguru Publications			Non Triratna authors	GEN	CAB					81-7030-342-7	Hardback book	1	
101	"Chang, Garma C.C."			The Buddhist Teaching of Totality	The Philosophy of Hwa Yen Buddhism	1992	Motilal Banarsidass			Non Triratna authors	GEN	CHA					81-208-0822-7	Hardback book	1	
102	"Chau, Thich Thien (Bikshu)"			The Literature of the Personalist of Early Buddhism		1999	Motilal Banarsidass				GEN	CHA					81-208-1622-6	Hardback	1	
103	"Chen, C M"		"Kantipalo, Rev B. "	Buddhist Meditation	Systematic and Practical	1980		USA		Non Triratna authors	GEN	CHE		meditation; ch'an; mahayana; yoga; mindfulness	Systematic and practical guide on Buddhist meditation by a Buddhist Yogi. This was written in conjunction with Sangharakshita.			Paperback book	1	
104	"Chin, Kung"			Buddhism; The Awakening of Compassion & Wisdom							GEN	CHI						paperback	1	
105	"Chinchore, Mangala R"			Dharmakirti's Theory of Hetu-Centricity of Anumana		1989	Motilal Banarsidass				GEN	CHI					81-208-0623-9	HARDBACK	1	
106	"Chodron, Pema"			Start Where You Are	A Guide to Compassionate Living	1994	Shambhala Publications	Boston & London		Non Triratna authors	GEN	CHO		fearlessness; compassion; meta; tibetan; contemporary; meditation	Handbook for cultivating fearlessness and awakening a compassionate heart	Paper insert of a quote from Atisha	0-87773-880-7	Paperback book	1	
107	"Choong, Mun-keat"			The Notion of Emptiness in Early Buddhism		1995	Motilal Banarsidass				GEN	CHO					81-208-1649-8	hardback	1	
108	"Chodron, Pema"			The Places that Scare You		2001	Element Books Ltd	London		General Buddhism	GEN	CHO					0 00 714574 8	Paperback book 	1	
109	"Chodron, Pema"			The Wisdom of No Escape and the Path of Loving Kindness		1991	Shambhala Publications	Boston & London		Non Triratna authors	GEN	CHO		trungpa rimpoche; metta; lovingkindness;	Exploration of wholehearted commitment to everyday life and how it can be used as practice		0-87773-632-4	Paperback book	1	
110	"Chodron, Pema"			When Things Fall Apart	Heart Advice for Difficult Times	1997	Shambhala Publications	Boston & London		Non Triratna authors	GEN	CHO		metta; lovingkindness; fear; compassion; trungpa rinpoche	Exploration of how to develop a fearlessly compassionate attitude towards our pain and that of others	some annotations in pencil	1-57062-160-8	Hardback Book	1	
111	"Clearly, Thomas"			The Ecstacy of Enlightenment	Teachings of Natural Tantra	1998	Samuel Weiser			Tibetan	GEN	CLE					1-57863-027-4	Paperback book	1	
112	"Collins, Steven"			Selfless Persons	Imagery & Thought in Theravada Buddhism	1982	Cambridge University Press				GEN	COL					0-521-39726-X	Paperback	1	
113	"Conze, Edward"			A Short History of Buddhism		1986	Unwin				GEN	CON					0-04-294123-7	paper	1	
114	"Conze, Edward"			Buddhism	Its Essence and Development	1999	Windhorse Publications			Non Triratna authors	GEN	CON					1-899579-40-0	Paperback book	1	
115	"Conze, Edward"			Buddhism	Its Essence and Development	1999	Windhorse Publications			Non Triratna authors	GEN	CON					1-899579-40-0	Paperback book	1	
116	"Conze, Edward"			Buddhist Meditation		1968	George Allen and Unwin Ltd	London	3	Non Triratna authors	GEN	CON		meditation; buddhaghosha; path of purity	"Translation of Pali, sanskrit and tibetan scriptures, mostly taken from Buddhaghosa's Path of Purity.  An introductory essay deals with the meaning of Buddhist meditation, its range and principal divisions, the chief literary documents, and the relationship with psychotherapy"		04-294008-7	Hardback book	1	
117	"Conze, Edward"			Buddhist Thought in India		1996	Munshiram Manoharlal				GEN	CON					81-215-0722-7	Hardback	1	
118	"Cook, Elizabeth (ed)"			Light of Liberation	A History of Buddism in India	1992	Dharma Publishing				GEN	COO					0-89800-242-7	Paperback	1	
119	"Das, Surya (Lama)"			Awakening the Buddha Within	Eight Steps to Enlightenment	1998	Bantam Books	London		Non Triratna authors	GEN	DAS		tibetan; contemporary; eightfold  path; virtue; meditation; wisdom	Tibetan approach to Buddhism for those living in the Western World		0-553-50537-8	Paperback book	1	
120	"David-Neel, Alexandra"			Buddhism	Its Doctrines and its Methods	1978	Unwin Paperbacks			Non Triratna authors	GEN	DAV					0-04-294103-2	Paperback book	1	
121	"Dayal, Har"			Bodhisattva Doctrine in Buddhist Sanskrit Literature		1999	Motilal Banarsidass			Non Triratna authors	GEN	DAY					81-208-1257-3	HARDBACK	1	
122	Dallas Buddhist Association			What is Buddhism?			Dallas Buddhist Association			Non Triratna authors	GEN	DBA						Booklet	1	
123	"Dhammananda, K. (Sri)"			Introduccion a la Filosofia Budista		1994	The Corporate Body of the Buddha Educational Foundation			Non Triratna authors	GEN	DHA	Sp					Pamphlet	1	
124	"Dhammadharo, Ajaan Lee"		"Thanissaro, Bhikkhu"	Inner Strength	and Parting Gifts					Non Triratna authors	GEN	DHA						Paperback book	1	
125	"Dhammika, Shravasti"			Nature and the Environment in Early Buddhism		2015	Buddha Dhamma Mandala Society				GEN	DHA					97898-10-937157	paperback	1	
126	"Dhammika, Shravasti"			To Eat or Not to Eat Meat		2010	The Buddha Mandala Society	Singapore		General Buddhism	GEN	DHA					978 981 08 6681 5	Paperback book 	1	
127	"Dhammananda, K. (Sri)"			What Buddhists believe		1993	The Corporate Body of the Buddha Educational Foundation			Non Triratna authors	GEN	DHA						Paperback book	1	
128	"Dhiravamsa, D. R."		"Oldenberg, H."	The Way of Non-attachment	The practice of insight meditation	1975	Turnstone Books	London		Non Triratna authors	GEN	DHI		meditation; vipassana; insight; thailand	A handbook on the Insight meditation practice		0-85500-046-5	Paperback book	1	
129	"Dumoulin, Heinrich & Maraldo, John C"			Buddhism in the Modern World	"The cultural, Political, and Religious Significance of"	1976	Collier Books			Non Triratna authors	GEN	DUM					0-02-084790-4	Paperback book	1	
130	"Dutt, Sukumar"			Buddhist Monks & Monisteries of India		1988	Motilal Banarsidass				PAL	GEN	VIN				81-208-0498-8	hardback	1	
131	"Dutt, Nalinaksha"			Buddhist Sects in India		1998	Motilal Banarsidass				GEN	DUT					81-208-0427-9	hardback	1	
132	"Dutt, Nalinaksha"			Early Monastic Buddhism		1980	Firma Klm Private Ltd				PAL	GEN	VIN					hardback	1	
133	"Dutt, Sukumar"			The Buddha & Five After-Centuries		1978	Sahitya Samsad				GEN	DUT						hardpack	1	
134	"Easwaran, Eknath"			Meditation	Commonsense Directions for an Uncommon Life	1979	Arkana	London		Non Triratna authors	GEN	EAS		meditation; one-pointed; friendship	"Guide to meditation, following an eight-point plan"		0-14-019036-8	Paperback book	1	
135	"Eckel, M D"			"Buddhism, Part 1"		2001	The Teaching Company			Non Triratna authors	GEN	ECK					1-56585-642-2	Paperback book	1	
136	"Eckel,  M D "			"Buddhism, Part 2"		2001	The Teaching Company			Non Triratna authors	GEN	ECK					1-56585-642-2	Paperback book	1	
137	"Ergardt, Jan T "			Faith & Knowledge in Early Buddhism		1977	E J Brill				GEN	ERG					90-04-04841-3	Hardback	1	
138	"Evola, J"			The Doctrine of Awakening	A Study of Buddhist Ascesis	1951	Luzac & Company				GEN	EVO						HARDBACK	1	
139	"Falvey, Lindsay & Siladasa"			Buddhism Briefly Explained		2004	Melbourne Buddhist Centre			Non Triratna authors	TRI	FAL	BUD				0-646-42335-5	Paperback book	1	
140	"Fields, Rick"			How the Swans Came to the Lake	A Narrative History of Buddhism in America	1992	Shambhala Publications			Non Triratna authors	GEN	FIE					0-87773-631-6	Paperback book	1	
141	"Findley, Ellison Banks"			Women's Buddhism Buddhism's Women		2000	Wisdom				GEN	FIN					0-86171-165-3	paperback	1	
142	"Flores, Ralph"			Buddhist Scriptrures as Literature	Scared Rhetoric and the uses of theory	2008	State University of New York Press			Non Triratna authors	GEN	FLO					978-0-7914-7339-9	Hardback book	1	
143	"Fozdar, Jamshed"			The God of Buddha		1973	Asia Publishing House			Non Triratna authors	GEN	FOZ					0-210-22395-2	Hardback book	1	
144	"Frauwallner, Erich"		"Francis Kidd, Sophie"	Studies in Abidharma Literature and the Origins of Buddhist Philosophical Systems		1995	State University of New York Press			Non Triratna authors	PAL	GEN	ABH				0-7914-2700-5	Paperback book	1	
145	"Gard, Richard A."			Buddhism	"The Way of Buddhism: its ideals and philosophy, its religious and moral principals and practices, its implications in the political, social and cultural life of its followers."	1961	Prentice Hall International			Non Triratna authors	GEN	GAR						Hardback book	1	
146	"Gethin, Rupert M. L."			Foundations of Buddhism		1998	Oxford University Press			Non Triratna authors	GEN	GET					0-19-289223-1	Paperback	1	
147	"Gethin, Rupert M. L."			The Buddhist Path to Awakening		2001	Oneworld Publications			Non Triratna authors	PAL	GEN	GET				1-85168-285-6	Paperback book	1	
148	"Gombrich, Richard F."			How Buddhism Began	The Conditioned Genesis of the Early Teachings	1996	The Athlone Press			Non Triratna authors	PAL	GEN	GOM				0-485-17417-0	Hardback book	1	
149	"Gombrich, Richard"			What the Buddha Thought		2009	Equinox				PAL	GEN	GOM				978-1-84553-641-5	paperback	1	
150	"Govinda, (Lama Anagarika)"			Psycho-cosmic Symbolism of the Buddhist Stupa		1976	Dharma Publishing				GEN	GOV					0913546-36-4	paperback	1	
151	"Govinda, (Lama Anagarika)"			The Psychological Attitude of Early Buddhist Philosphy		1961	Rider				GEN	GOV						hardback	1	
152	"Green, Ronald S. "			Buddhism goes to the Movies	An introduction to Buddhist Thought and Practice	2014	Routledge	New York		General	GEN	GRE					978-0-415-84148-1	Book	1	
153	"Greenwald, Jeff"			Shopping for Buddhas		1990				Non Triratna authors	GEN	GRE					0-06-250358-8	Paperback book	1	
154	"Gross, Rita M."			Buddhism after Patriarchy	"A Feminist History, Analysis, and Reconstruction of Buddhism"	1995	Sri Satguru Publications	Delhi		General	GEN	GRO					81-7030-422-9	Book	1	
155	"Gross, Rita M"			Soaring & Settling		1998	Continuum				GEN	GRO					0-8264-1113-4	paperback	1	
